Iteración,Aptitud,Código
0,89.0,"[2, 4, 1, 3]"
1,89.0,"[2, 4, 1, 3]"
2,89.0,"[2, 4, 1, 3]"
3,93.0,"[4, 3, 5, 3]"
4,93.0,"[4, 3, 5, 3]"
5,92.0,"[3, 5, 5, 3]"
6,89.0,"[2, 4, 1, 3]"
7,89.0,"[2, 4, 1, 3]"
8,89.0,"[2, 4, 1, 3]"
9,89.0,"[2, 4, 1, 3]"
10,89.0,"[2, 4, 1, 3]"
11,94.0,"[3, 5, 2, 3]"
12,95.0,"[2, 4, 5, 3]"
13,95.0,"[2, 4, 5, 3]"
14,92.0,"[3, 5, 5, 3]"
