Iteración,Aptitud,Código
0,6.0,"[4, 4, 0, 4]"
1,6.0,"[4, 4, 0, 4]"
2,6.0,"[4, 4, 0, 4]"
3,7.0,"[4, 4, 1, 4]"
4,7.0,"[4, 4, 1, 4]"
5,7.0,"[4, 2, 4, 4]"
6,7.0,"[4, 2, 4, 4]"
7,8.0,"[4, 4, 4, 4]"
8,7.0,"[4, 2, 4, 4]"
9,7.0,"[4, 4, 1, 4]"
10,7.0,"[4, 4, 1, 4]"
11,8.0,"[4, 4, 4, 4]"
12,8.0,"[4, 4, 4, 4]"
13,8.0,"[4, 4, 4, 4]"
14,8.0,"[4, 4, 4, 4]"
