Iteración,Aptitud,Código
0,32.0,"[4, 3, 1, 4]"
1,32.0,"[4, 3, 1, 4]"
2,33.0,"[4, 2, 1, 4]"
3,33.0,"[4, 2, 1, 4]"
4,33.0,"[4, 2, 1, 4]"
5,33.0,"[4, 2, 1, 4]"
6,33.0,"[4, 2, 1, 4]"
7,33.0,"[4, 2, 1, 4]"
8,33.0,"[4, 2, 1, 4]"
9,33.0,"[4, 2, 1, 4]"
10,34.0,"[4, 1, 1, 4]"
11,34.0,"[4, 1, 1, 4]"
12,34.0,"[4, 1, 1, 4]"
13,34.0,"[4, 1, 1, 4]"
14,34.0,"[4, 1, 1, 4]"
