Iteración,Aptitud,Código
0,12.0,"[5, 0, 1, 5]"
1,13.0,"[0, 1, 1, 5]"
2,16.0,"[0, 3, 0, 5]"
3,16.0,"[0, 3, 0, 5]"
4,17.0,"[3, 1, 4, 5]"
5,17.0,"[3, 1, 4, 5]"
6,17.0,"[3, 1, 4, 5]"
7,18.0,"[3, 1, 5, 5]"
8,18.0,"[3, 1, 5, 5]"
9,18.0,"[3, 1, 5, 5]"
10,18.0,"[3, 1, 5, 5]"
11,18.0,"[3, 1, 5, 5]"
12,18.0,"[3, 1, 5, 5]"
13,18.0,"[3, 1, 5, 5]"
14,18.0,"[3, 1, 5, 5]"
