Iteración,Aptitud,Código
0,138.0,"[5, 2, 4, 0]"
1,138.0,"[5, 2, 4, 0]"
2,139.0,"[5, 5, 5, 0]"
3,143.0,"[5, 5, 4, 0]"
4,143.0,"[5, 5, 4, 0]"
5,139.0,"[5, 5, 5, 0]"
6,139.0,"[5, 5, 5, 0]"
7,143.0,"[5, 5, 4, 0]"
8,147.0,"[5, 4, 2, 0]"
9,147.0,"[5, 4, 2, 0]"
10,147.0,"[5, 4, 2, 0]"
11,150.0,"[4, 4, 4, 0]"
12,156.0,"[5, 4, 4, 0]"
13,167.0,"[4, 4, 0, 2]"
14,173.0,"[5, 4, 0, 2]"
