Iteración,Aptitud,Código
0,45.0,"[0, 1, 5, 2]"
1,48.0,"[1, 3, 4, 2]"
2,50.0,"[0, 0, 2, 2]"
3,53.0,"[0, 1, 2, 2]"
4,53.0,"[0, 1, 2, 2]"
5,53.0,"[0, 1, 2, 2]"
6,53.0,"[0, 1, 2, 2]"
7,53.0,"[0, 1, 2, 2]"
8,53.0,"[0, 1, 2, 2]"
9,53.0,"[0, 1, 2, 2]"
10,53.0,"[0, 1, 2, 2]"
11,53.0,"[0, 1, 2, 2]"
12,53.0,"[0, 1, 2, 2]"
13,56.0,"[0, 2, 2, 2]"
14,53.0,"[0, 1, 2, 2]"
