Iteración,Aptitud,Código
0,18.0,"[5, 0, 0, 5]"
1,17.0,"[1, 5, 5, 2]"
2,17.0,"[3, 5, 1, 5]"
3,17.0,"[5, 0, 5, 1]"
4,17.0,"[3, 5, 1, 5]"
5,17.0,"[5, 0, 5, 1]"
6,17.0,"[2, 5, 0, 5]"
7,21.0,"[5, 2, 5, 5]"
8,19.0,"[1, 5, 0, 5]"
9,21.0,"[5, 3, 5, 5]"
10,19.0,"[1, 5, 0, 5]"
11,19.0,"[1, 5, 0, 5]"
12,19.0,"[0, 5, 0, 5]"
13,19.0,"[0, 5, 0, 5]"
14,19.0,"[0, 5, 0, 5]"
